db_id,institution_code,collection_code,specimen_id,authority,taxonomy_notes,morphospecies,species,subgenus,genus,subtribe,tribe,subfamily,family,superfamily,infraorder,suborder,order,class,ncbi_may_edit,ncbi_search_success,ncbi_species,ncbi_id_rank,ncbi_taxid,variant_status,chimera_notes,traptype,dev_stage,site,locality,subregion,country,latitude,longitude,size,feeding_behaviour,habitat,habitat_stratum,authors,library,datasubmitter,projectname,genbank_accession,notes,contigname
BGLP001,,,,,,Apristus_sp44,,,Apristus,,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,177272,,,,,,Yolo County,California,USA,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Apristus_sp44
BGLP003,,,,,,Calleidina_sp28,,,,Calleidina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,tribe,60751,,,,,,,Santa Cruz,Argentina,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Calleidina_sp28
BGLP004,,,,,,Chlaenini_sp69,,,,,Brachinini,Brachininae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,tribe,63839,,,,,,,,Ivory Coast,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Chlaenini_sp69
BGLP005,,,,,species had GBDL00851 in it - moved to here,Agra_sp29,,,Agra,Agrina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,177257,,,,,,,Jalisco,Mexico,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Colliurus_sp29
BGLP006,,,,,,Lebiini_sp13,,,,Calleidina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,60751,,,,,,,Mendoza,Argentina,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Dromius_sp13
BGLP007,,,,,,Dromiusina_sp5,,,,Dromiusina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,tribe,60751,,,,,,,Mendoza,Argentina,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Dromius_sp5
BGLP008,,,,,,Lebia_sp23,,,Lebia,Singilina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,170283,,,,,,,Northern Province,South Africa,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebia_sp23
BGLP009,,,,,,Lebia_sp2,,,Lebia,Singilina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,170283,,,,,,,Kwazulu Natal,South Africa,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebia_sp2
BGLP010,,,,,,Lebia_sp45,,,Lebia,,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,170283,,,,,,Hottentots,Western Cape,South Africa,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebiini_sp45
BGLP011,,,,,,Lebia_sp46,,,Lebia,Lebiina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,170283,,,,,,,Matagalpa,Nicaragua,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebiini_sp46
BGLP012,,,,,,Lebiini_sp65,,,,Pericalina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,60751,,,,,,,,Ivory Coast,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebiini_sp65
BGLP013,,,,,,Lebiini_sp67,,,,,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,60751,,,,,,,,Ivory Coast,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebiini_sp67
BGLP016,,,,,,Lebiini_sp9,,,,Calleidina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,60751,,,,,,,Canturbury,New Zealand,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lebiini_sp9
BGLP017,,,,,,Peliocypas_sp41,,,Peliocypas,Peliocypadina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,177495,,,,,,North Cachar Hills,Assam,India,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Paraglycia_sp41
BGLP018,,,,,,Pericalina_sp34,,,Eucaerus,Lachnophorina,Odacanthini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,tribe,170251,,,,,,Yasuni,Orellana,Ecuador,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Lachnophorina_sp34
BGLP019,,,,,,Pericalina_sp40,,,Perigona,,Perogonini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,subfamily,878118,,,,,,Mulu NP,Sarawak,Malaysia,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Pericalina_sp40
BGLP020,,,,,,Perogonini_sp3,,,Perigona,,Perogonini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,subfamily,878118,,,,,,,Sarawak,Malaysia,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Perogonini_sp3
BGLP021,,,,,,Lebiini_sp6,,,,Calleidina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,60751,,,,,,,Mendoza,Argentina,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Philorhizus_sp6
BGLP022,,,,,,Apenes_nebulosa_sp31,Apenes nebulosa,,,Apenina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,tribe,60751,,,,,,Brewster,Texas,USA,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Syntomus_sp31
BGLP023,,,,,,Apristus_sp37,,,Apristus,Lionychina,Lebiini,Lebiinae,Carabidae,Caraboidea,,Adephaga,Coleoptera,Insecta,TRUE,TRUE,,genus,177272,,,,,,Lane County,Oregon,USA,,,,,,,Beulah Garner,,,Beulah Garner Lebiinae Project,,,Syntomus_sp37
